Rel X Fld,Rel Y Fld,Parax X,Parax Y,Real X,Real Y,Rad Dist%,Tan Dist%
0.0,-0.2,0.0,0.50339,0.0,0.504197,0.16,0.0
0.1,-0.2,-0.251744,0.50339,-0.251723,0.504339,0.15,0.08
0.2,-0.2,-0.503487,0.50339,-0.503445,0.504762,0.13,0.14
0.3,-0.2,-0.755231,0.50339,-0.755165,0.505469,0.12,0.19
0.4,-0.2,-1.006974,0.50339,-1.006883,0.506458,0.11,0.25
0.5,-0.2,-1.258718,0.50339,-1.258597,0.507729,0.11,0.3
0.6,-0.2,-1.510461,0.50339,-1.510307,0.509283,0.11,0.35
0.7,-0.2,-1.762205,0.50339,-1.762013,0.511119,0.11,0.41
0.8,-0.2,-2.013948,0.50339,-2.013712,0.513238,0.1,0.46
0.9,-0.2,-2.265692,0.50339,-2.265405,0.515639,0.1,0.52
1.0,-0.2,-2.517435,0.50339,-2.517091,0.518322,0.1,0.57
-1.0,-0.3,2.517435,0.755085,2.517003,0.770823,0.16,-0.58
-0.9,-0.3,2.265692,0.755085,2.265326,0.768139,0.16,-0.52
-0.8,-0.3,2.013948,0.755085,2.013642,0.765738,0.16,-0.47
-0.7,-0.3,1.762205,0.755085,1.761951,0.763619,0.16,-0.41
-0.6,-0.3,1.510461,0.755085,1.510255,0.761782,0.17,-0.36
-0.5,-0.3,1.258718,0.755085,1.258553,0.760228,0.17,-0.31
-0.4,-0.3,1.006974,0.755085,1.006848,0.758957,0.18,-0.25
-0.3,-0.3,0.755231,0.755085,0.755139,0.757968,0.18,-0.2
-0.2,-0.3,0.503487,0.755085,0.503427,0.757261,0.2,-0.14
-0.1,-0.3,0.251744,0.755085,0.251714,0.756837,0.21,-0.07
0.0,-0.3,0.0,0.755085,0.0,0.756696,0.21,0.0
0.1,-0.3,-0.251744,0.755085,-0.251714,0.756837,0.21,0.07
0.2,-0.3,-0.503487,0.755085,-0.503427,0.757261,0.2,0.14
0.3,-0.3,-0.755231,0.755085,-0.755139,0.757968,0.18,0.2
0.4,-0.3,-1.006974,0.755085,-1.006848,0.758957,0.18,0.25
0.5,-0.3,-1.258718,0.755085,-1.258553,0.760228,0.17,0.31
0.6,-0.3,-1.510461,0.755085,-1.510255,0.761782,0.17,0.36
0.7,-0.3,-1.762205,0.755085,-1.761951,0.763619,0.16,0.41
0.8,-0.3,-2.013948,0.755085,-2.013642,0.765738,0.16,0.47
0.9,-0.3,-2.265692,0.755085,-2.265326,0.768139,0.16,0.52
1.0,-0.3,-2.517435,0.755085,-2.517003,0.770823,0.16,0.58
-1.0,-0.4,2.517435,1.00678,2.516912,1.023591,0.21,-0.58
-0.9,-0.4,2.265692,1.00678,2.265245,1.020906,0.21,-0.53
-0.8,-0.4,2.013948,1.00678,2.01357,1.018505,0.22,-0.47
-0.7,-0.4,1.762205,1.00678,1.761888,1.016385,0.22,-0.42
-0.6,-0.4,1.510461,1.00678,1.510201,1.014548,0.23,-0.36
-0.5,-0.4,1.258718,1.00678,1.258508,1.012994,0.23,-0.31
-0.4,-0.4,1.006974,1.00678,1.006812,1.011722,0.24,-0.25
-0.3,-0.4,0.755231,1.00678,0.755112,1.010733,0.25,-0.2
-0.2,-0.4,0.503487,1.00678,0.503409,1.010027,0.25,-0.14
-0.1,-0.4,0.251744,1.00678,0.251705,1.009603,0.26,-0.07
0.0,-0.4,0.0,1.00678,0.0,1.009461,0.27,0.0
0.1,-0.4,-0.251744,1.00678,-0.251705,1.009603,0.26,0.07
0.2,-0.4,-0.503487,1.00678,-0.503409,1.010027,0.25,0.14
0.3,-0.4,-0.755231,1.00678,-0.755112,1.010733,0.25,0.2
0.4,-0.4,-1.006974,1.00678,-1.006812,1.011722,0.24,0.25
0.5,-0.4,-1.258718,1.00678,-1.258508,1.012994,0.23,0.31
0.6,-0.4,-1.510461,1.00678,-1.510201,1.014548,0.23,0.36
0.7,-0.4,-1.762205,1.00678,-1.761888,1.016385,0.22,0.42
0.8,-0.4,-2.013948,1.00678,-2.01357,1.018505,0.22,0.47
0.9,-0.4,-2.265692,1.00678,-2.265245,1.020906,0.21,0.53
1.0,-0.4,-2.517435,1.00678,-2.516912,1.023591,0.21,0.58
-1.0,-0.5,2.517435,1.258476,2.516819,1.276625,0.27,-0.59
-0.9,-0.5,2.265692,1.258476,2.265161,1.273941,0.27,-0.53
-0.8,-0.5,2.013948,1.258476,2.013496,1.271539,0.28,-0.48
-0.7,-0.5,1.762205,1.258476,1.761823,1.269419,0.28,-0.42
-0.6,-0.5,1.510461,1.258476,1.510145,1.267582,0.28,-0.37
-0.5,-0.5,1.258718,1.258476,1.258462,1.266027,0.29,-0.31
-0.4,-0.5,1.006974,1.258476,1.006775,1.264755,0.3,-0.25
-0.3,-0.5,0.755231,1.258476,0.755084,1.263766,0.3,-0.19
-0.2,-0.5,0.503487,1.258476,0.503391,1.263059,0.31,-0.13
-0.1,-0.5,0.251744,1.258476,0.251696,1.262635,0.32,-0.07
0.0,-0.5,0.0,1.258476,0.0,1.262494,0.32,0.0
0.1,-0.5,-0.251744,1.258476,-0.251696,1.262635,0.32,0.07
0.2,-0.5,-0.503487,1.258476,-0.503391,1.263059,0.31,0.13
0.3,-0.5,-0.755231,1.258476,-0.755084,1.263766,0.3,0.19
0.4,-0.5,-1.006974,1.258476,-1.006775,1.264755,0.3,0.25
0.5,-0.5,-1.258718,1.258476,-1.258462,1.266027,0.29,0.31
0.6,-0.5,-1.510461,1.258476,-1.510145,1.267582,0.28,0.37
0.7,-0.5,-1.762205,1.258476,-1.761823,1.269419,0.28,0.42
0.8,-0.5,-2.013948,1.258476,-2.013496,1.271539,0.28,0.48
0.9,-0.5,-2.265692,1.258476,-2.265161,1.273941,0.27,0.53
1.0,-0.5,-2.517435,1.258476,-2.516819,1.276625,0.27,0.59
-1.0,-0.6,2.517435,1.510171,2.516723,1.529927,0.33,-0.59
-0.9,-0.6,2.265692,1.510171,2.265075,1.527242,0.33,-0.53
-0.8,-0.6,2.013948,1.510171,2.013419,1.52484,0.33,-0.48
-0.7,-0.6,1.762205,1.510171,1.761756,1.52272,0.34,-0.42
-0.6,-0.6,1.510461,1.510171,1.510088,1.520882,0.34,-0.37
-0.5,-0.6,1.258718,1.510171,1.258414,1.519328,0.35,-0.31
-0.4,-0.6,1.006974,1.510171,1.006737,1.518055,0.35,-0.25
