wavelength (nm), transmission
756.9999999999999, 0.4889995746791064
757.9999999999999, 0.4915906189679239
759, 0.49405012194177067
760, 0.49783195100871636
760.9999999999999, 0.5070594901664953
762, 0.5113103651432297
763, 0.5238744977125804
763.9999999999999, 0.5370358580617364
764.9999999999999, 0.5443815148450687
766, 0.5655219221444354
767, 0.5810624287508811
767.9999999999999, 0.6032611853454556
768.9999999999999, 0.6245904812450026
770, 0.6359474989719626
771, 0.6553243560943525
771.9999999999999, 0.6856987090040173
772.9999999999999, 0.705814370231496
774, 0.7283718986829688
775, 0.756674658194397
775.9999999999999, 0.7738247741166677
776.9999999999999, 0.8048818780626308
778, 0.8276692060678454
779, 0.8412085461088414
779.9999999999999, 0.8759814074515493
780.9999999999999, 0.892333287225938
782, 0.9144542915830933
783, 0.9305537370183679
783.9999999999999, 0.9377926903879832
784.9999999999999, 0.9492389783953951
786, 0.9616043671419003
786.9999999999999, 0.9660849960761027
787.9999999999999, 0.9704470607493032
788.9999999999999, 0.9703411147171671
790, 0.9683632392243975
790.9999999999999, 0.9636795345246068
791.9999999999999, 0.9575154384650006
793, 0.9527973745776681
794, 0.941696370225185
794.9999999999999, 0.931520968059548
795.9999999999999, 0.919519870479313
797, 0.9047845294870664
798, 0.896737887207774
798.9999999999999, 0.8856818834318012
799.9999999999999, 0.8695331444729278
801, 0.8596188058891258
802, 0.8485463789334482
802.9999999999999, 0.8359193385379952
803.9999999999999, 0.8280006529728723
805, 0.8159105792568431
806, 0.8078423906471555
806.9999999999999, 0.8027917979096187
807.9999999999999, 0.7937241758643655
809, 0.789692345719648
810, 0.7845397464048767
810.9999999999999, 0.7799600184175405
811.9999999999999, 0.7770763175817086
813, 0.7755125127290888
813.9999999999999, 0.7723837987445026
814.9999999999999, 0.7719544024723084
815.9999999999999, 0.7717774573038757
817, 0.7725495130529564
817.9999999999999, 0.7736531197318803
818.9999999999999, 0.7763842146497673
820, 0.7792634530875193
821, 0.7828159730901864
821.9999999999999, 0.7861379214957013
822.9999999999999, 0.7894581320106383
824, 0.7957033352933136
825, 0.8003779925088039
825.9999999999999, 0.8062267501852981
826.9999999999999, 0.8127447843576525
828, 0.8178895455409301
829, 0.8242891645883251
829.9999999999999, 0.8296049123926519
830.9999999999999, 0.8394452336468696
832, 0.8454691890978268
833, 0.8547975350327184
833.9999999999999, 0.8607283186945995
834.9999999999999, 0.8669007242257842
836, 0.8757738859876494
837, 0.8815200627315873
837.9999999999999, 0.8895947618560702
838.9999999999999, 0.8948338040206243
840, 0.900179812062692
840.9999999999999, 0.9043625138879312
841.9999999999999, 0.9099458575039496
842.9999999999999, 0.9148173341207472
844, 0.9186856206251435
844.9999999999999, 0.9245895769833223
845.9999999999999, 0.9280208104797314
846.9999999999999, 0.9329983021708517
848, 0.9356920244721962
848.9999999999999, 0.9385479391142519
849.9999999999999, 0.9412151207120962
851, 0.9435281891596405
852, 0.9449496927090106
852.9999999999999, 0.9454352085634556
853.9999999999999, 0.9463918537293954
855, 0.9463399810240274
856, 0.945815164495431
856.9999999999999, 0.9454568579312981
857.9999999999999, 0.9454765438203525
