Wavelength,Reflectance
12.81405,96.64533
12.82418,96.64066
12.83368,96.63596
12.8438,96.63128
12.85392,96.62659
12.86403,96.6219
12.87415,96.6172
12.88425,96.6125
12.89372,96.60777
12.90382,96.60306
12.91392,96.59834
12.92401,96.59362
12.9341,96.5889
12.94418,96.58417
12.95363,96.5794
12.9637,96.57466
12.97377,96.56991
12.98384,96.56516
12.9939,96.56041
13.00396,96.55565
13.01402,96.55088
13.02407,96.54611
13.03411,96.54134
13.04416,96.53656
13.05357,96.53174
13.0636,96.52695
13.07363,96.52215
13.08366,96.51735
13.09368,96.51255
13.1037,96.50774
13.11371,96.50293
13.12372,96.49811
13.13373,96.49329
13.14373,96.48846
13.15373,96.48363
13.16372,96.47879
13.17371,96.47394
13.1837,96.4691
13.19368,96.46424
13.20366,96.45938
13.21363,96.45452
13.2236,96.44965
13.23357,96.44478
13.24353,96.4399
13.25348,96.43502
13.26344,96.43013
13.27401,96.42529
13.28395,96.42039
13.29389,96.41549
13.30383,96.41058
13.31376,96.40567
13.32368,96.40075
13.33361,96.39583
13.34353,96.3909
13.35344,96.38597
13.36397,96.38109
13.37388,96.37615
13.38378,96.3712
13.39368,96.36624
13.40357,96.36128
13.41346,96.35632
13.42335,96.35135
13.43385,96.34644
13.44372,96.34146
13.4536,96.33648
13.46346,96.33149
13.47333,96.32649
13.4838,96.32156
13.49366,96.31655
13.50351,96.31154
13.51336,96.30653
13.52382,96.30158
13.53366,96.29655
13.54349,96.29152
13.55332,96.28648
13.56376,96.28151
13.57358,96.27646
13.5834,96.27141
13.59382,96.26643
13.60363,96.26136
13.61344,96.25629
13.62385,96.25129
13.63364,96.24622
13.64343,96.24113
13.65322,96.23604
13.66362,96.23102
13.67339,96.22592
13.68378,96.22089
13.69355,96.21578
13.70331,96.21067
13.71368,96.20562
13.72344,96.20049
13.73319,96.19536
13.74355,96.1903
13.75329,96.18516
13.76364,96.18009
13.77337,96.17494
13.78371,96.16986
13.79343,96.16469
13.80316,96.15952
13.81348,96.15443
13.82319,96.14924
13.83351,96.14414
13.84321,96.13895
13.85351,96.13383
13.86321,96.12863
13.8735,96.1235
13.88319,96.11829
13.89348,96.11315
13.90315,96.10792
13.91343,96.10278
13.9231,96.09754
13.93336,96.09238
13.94362,96.08722
13.95328,96.08196
13.96353,96.07679
13.97318,96.07153
13.98342,96.06634
13.99305,96.06106
14.00329,96.05587
14.01352,96.05067
14.02314,96.04538
