Pixel,Wavelength
-65.90711947577778,1.049
-65.5875862375889,1.05
-65.26876607293333,1.0510000000000002
-64.9506558974611,1.052
-64.63325264227223,1.053
-64.31655325388334,1.054
-64.00055469405,1.0550000000000002
-63.68525393974999,1.056
-63.37064798304444,1.057
-63.0567338310111,1.058
-62.743508505633336,1.0590000000000002
-62.43096904372778,1.06
-62.11911249684445,1.061
-61.807935931188894,1.062
-61.497436427505555,1.0630000000000002
-61.18761108103334,1.064
-60.878457001372226,1.065
-60.56997131243889,1.066
-60.262151152344444,1.0670000000000002
-59.95499367334445,1.068
-59.64849604172222,1.069
-59.34265543772223,1.07
-59.03746905545555,1.0710000000000002
-58.73293410283333,1.072
-58.42904780148889,1.073
-58.125807386644446,1.074
-57.82321010709445,1.0750000000000002
-57.52125322509445,1.076
-57.21993401628889,1.077
-56.91924976961668,1.078
-56.619197787244445,1.0790000000000002
-56.31977538449445,1.08
-56.02097988975556,1.081
-55.72280864440556,1.082
-55.42525900273889,1.0830000000000002
-55.12832833190556,1.084
-54.832014011788885,1.085
-54.53631343498889,1.086
-54.24122400670556,1.0870000000000002
-53.94674314468333,1.088
-53.65286827914444,1.089
-53.35959685266667,1.09
-53.06692632018889,1.091
-52.7748541489,1.092
-52.483377818116665,1.093
-52.19249481932222,1.094
-51.902202655994444,1.095
-51.612498843594445,1.096
-51.32338090947222,1.097
-51.034846392800006,1.098
-50.74689284452222,1.099
-50.45951782725555,1.1
-50.172718915249995,1.101
-49.8864936943,1.102
-49.6008397617,1.103
-49.31575472615556,1.104
-49.03123620772223,1.105
-48.74728183775556,1.106
-48.463889258844446,1.107
-48.1810561247,1.108
-47.89878010017222,1.109
-47.61705886111667,1.11
-47.33589009437222,1.111
-47.05527149766111,1.112
-46.77520077956667,1.113
-46.49567565946667,1.114
-46.21669386741667,1.115
-45.93825314416667,1.116
-45.66035124105,1.117
-45.38298591993889,1.118
-45.106154953183335,1.119
-44.82985612354444,1.12
-44.554087224144446,1.121
-44.278846058422225,1.122
-44.00413044001667,1.123
-43.72993819279444,1.124
-43.456267150722226,1.125
-43.18311515783333,1.1260000000000001
-42.91048006818333,1.127
-42.63835974577223,1.1280000000000001
-42.36675206451666,1.129
-42.09565490814444,1.1300000000000001
-41.8250661702,1.131
-41.55498375395,1.1320000000000001
-41.28540557233333,1.133
-41.01632954791667,1.1340000000000001
-40.747753612838885,1.135
-40.479675708744445,1.1360000000000001
-40.21209378675556,1.137
-39.94500580738889,1.1380000000000001
-39.67840974053333,1.139
-39.41230356536667,1.1400000000000001
-39.146685270333336,1.141
-38.88155285307222,1.1420000000000001
-38.61690432036667,1.143
-38.35273768812778,1.1440000000000001
-38.08905098127778,1.145
-37.82584223375556,1.1460000000000001
-37.56310948845556,1.147
-37.30085079716111,1.1480000000000001
-37.03906422051111,1.149
-36.77774782795,1.1500000000000001
-36.51689969765555,1.151
-36.25651791653889,1.1520000000000001
-35.996600580144445,1.153
-35.73714579264444,1.154
-35.47815166675,1.155
-35.21961632371667,1.1560000000000001
-34.96153789322777,1.157
-34.70391451343889,1.158
-34.44674433083333,1.159
-34.19002550025555,1.1600000000000001
-33.933756184822215,1.161
-33.67793455588888,1.162
-33.42255879301111,1.163
-33.167627083877775,1.1640000000000001
-32.91313762431111,1.165
-32.659088618161114,1.166
-32.405478277327774,1.167
-32.152304821655555,1.1680000000000001
-31.899566478933334,1.169
-31.64726148484444,1.17
-31.3953880829,1.171
-31.143944524427777,1.1720000000000002
-30.892929068505552,1.173
-30.64233998193889,1.174
-30.3921755392,1.175
-30.142434022399996,1.1760000000000002
-29.89311372125,1.177
-29.64421293300555,1.178
-29.395729962450005,1.179
-29.147663121816663,1.1800000000000002
-28.900010730777776,1.181
-28.652771116416673,1.182
-28.40594261315,1.183
-28.15952356272222,1.1840000000000002
-27.913512314127775,1.185
-27.667907223622223,1.186
-27.42270665465,1.187
-27.17790897781667,1.1880000000000002
-26.933512570838886,1.189
-26.689515818527777,1.19
-26.445917112733333,1.191
-26.20271485232222,1.1920000000000002
-25.959907443105557,1.193
-25.71749329786111,1.194
-25.47547083625,1.195
-25.23383848478889,1.1960000000000002
-24.99259467682778,1.197
-24.751737852494443,1.198
-24.51126645868333,1.199
-24.271178949000003,1.2000000000000002
-24.031473783705554,1.201
-23.792149429755554,1.202
-23.55320436068889,1.203
-23.31463705662222,1.2040000000000002
-23.076446004216667,1.205
-22.838629696644446,1.206
-22.601186633544444,1.207
-22.364115321005553,1.2080000000000002
-22.127414271516667,1.209
-21.891082003944444,1.21
-21.655117043483333,1.211
